iptv高清,#genre#
CCTV1,http://192.168.2.1:1234/rtp/238.255.0.113:4152
CCTV10,http://192.168.2.1:1234/rtp/238.255.0.40:8840
CCTV少儿,http://192.168.2.1:1234/rtp/238.255.0.149:8832
东方卫视,http://192.168.2.1:1234/rtp/238.255.0.114:4240
北京卫视,http://192.168.2.1:1234/rtp/238.255.0.117:4248
湖南卫视,http://192.168.2.1:1234/rtp/238.255.0.115:4256
江苏卫视,http://192.168.2.1:1234/rtp/238.255.0.122:4264
浙江卫视,http://192.168.2.1:1234/rtp/238.255.0.116:4272
四川卫视,http://192.168.2.1:1234/rtp/238.255.0.41:8848
山东卫视,http://192.168.2.1:1234/rtp/238.255.0.120:4304
辽宁卫视,http://192.168.2.1:1234/rtp/238.255.0.136:8728
安徽卫视,http://192.168.2.1:1234/rtp/238.255.0.42:8856
东南卫视,http://192.168.2.1:1234/rtp/238.255.0.43:8872
黑龙江卫视,http://192.168.2.1:1234/rtp/238.255.0.123:4336
天津卫视,http://192.168.2.1:1234/rtp/238.255.0.135:8720
江西卫视,http://192.168.2.1:1234/rtp/238.255.0.134:8712
广东卫视,http://192.168.2.1:1234/rtp/238.255.0.118:4376
湖北卫视,http://192.168.2.1:1234/rtp/238.255.0.119:4384
重庆卫视,http://192.168.2.1:1234/rtp/238.255.0.44:8864
深圳卫视,http://192.168.2.1:1234/rtp/238.255.0.121:4416
中国教育,http://192.168.2.1:1234/rtp/238.255.0.133:8704
纪实人文,http://192.168.2.1:1234/rtp/238.255.0.45:8880
河北卫视,http://192.168.2.1:1234/rtp/238.255.0.151:9112
金鹰纪实,http://192.168.2.1:1234/rtp/238.255.0.150:9120

iptv央视,#genre#
CCTV1,http://192.168.2.1:1234/rtp/238.255.0.74:6152
CCTV2,http://192.168.2.1:1234/rtp/238.255.0.75:6160
CCTV4,http://192.168.2.1:1234/rtp/238.255.0.76:6168
CCTV7,http://192.168.2.1:1234/rtp/238.255.0.77:6176
CCTV9,http://192.168.2.1:1234/rtp/238.255.0.148:8824
CCTV10,http://192.168.2.1:1234/rtp/238.255.0.79:6192
CCTV11,http://192.168.2.1:1234/rtp/238.255.0.80:6200
CCTV12,http://192.168.2.1:1234/rtp/238.255.0.48:6208
CCTV新闻,http://192.168.2.1:1234/rtp/238.255.0.82:6216
CCTV少儿,http://192.168.2.1:1234/rtp/238.255.0.83:6224
CCTV音乐,http://192.168.2.1:1234/rtp/238.255.0.84:6232
CGTN,http://192.168.2.1:1234/rtp/238.255.0.78:6184

iptv卫视,#genre#
东方卫视,http://192.168.2.1:1234/rtp/238.255.0.85:6240
北京卫视,http://192.168.2.1:1234/rtp/238.255.0.86:6248
湖南卫视,http://192.168.2.1:1234/rtp/238.255.0.87:6256
江苏卫视,http://192.168.2.1:1234/rtp/238.255.0.88:6264
浙江卫视,http://192.168.2.1:1234/rtp/238.255.0.89:6272
贵州卫视,http://192.168.2.1:1234/rtp/238.255.0.111:6720
新疆卫视,http://192.168.2.1:1234/rtp/238.255.0.112:6728
四川卫视,http://192.168.2.1:1234/rtp/238.255.0.92:6296
山东卫视,http://192.168.2.1:1234/rtp/238.255.0.93:6304
辽宁卫视,http://192.168.2.1:1234/rtp/238.255.0.94:6312
安徽卫视,http://192.168.2.1:1234/rtp/238.255.0.95:6320
东南卫视,http://192.168.2.1:1234/rtp/238.255.0.96:6328
黑龙江卫视,http://192.168.2.1:1234/rtp/238.255.0.97:6336
陕西卫视,http://192.168.2.1:1234/rtp/238.255.0.98:6344
天津卫视,http://192.168.2.1:1234/rtp/238.255.0.99:6352
江西卫视,http://192.168.2.1:1234/rtp/238.255.0.100:6360
云南卫视,http://192.168.2.1:1234/rtp/238.255.0.201:6368
广东卫视,http://192.168.2.1:1234/rtp/238.255.0.102:6376
湖北卫视,http://192.168.2.1:1234/rtp/238.255.0.103:6384
