📚  iHOT,#genre#
爱奇谈,http://111.12.110.95:6610/000000001001/6000000006000270630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000270630
爱世界,http://111.12.110.95:6610/000000001001/6000000006000210630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000210630
爱怀旧,http://111.12.110.95:6610/000000001001/6000000006000260630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000260630
爱旅行,http://111.12.110.95:6610/000000001001/6000000006000250630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000250630
爱娱乐,http://111.12.110.95:6610/000000001001/6000000006000130630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000130630
爱江湖,http://111.12.110.95:6610/000000001001/6000000006000110630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000110630
爱军武,http://111.12.110.95:6610/000000001001/6000000006000170630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000170630
爱幼教,http://111.12.110.95:6610/000000001001/6000000006000180630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000180630
爱猎奇,http://111.12.110.95:6610/000000001001/6000000006000190630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000190630
爱历史,http://111.12.110.95:6610/000000001001/6000000006000150630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000150630
爱经典,http://111.12.110.95:6610/000000001001/6000000006000060630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000060630
爱都市,http://111.12.110.95:6610/000000001001/6000000006000080630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000080630
爱时尚,http://111.12.110.95:6610/000000001001/6000000006000140630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000140630
爱美食,http://111.12.110.95:6610/000000001001/6000000006000120630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000120630
爱家庭,http://111.12.110.95:6610/000000001001/6000000006000090630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000090630
爱动漫,http://111.12.110.95:6610/000000001001/6000000006000280630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000280630
爱谍战,http://111.12.110.95:6610/000000001001/6000000006000070630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000070630
爱悬疑,http://111.12.110.95:6610/000000001001/6000000006000050630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000050630
爱青春,http://111.12.110.95:6610/000000001001/6000000006000100630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000100630
爱院线,http://111.12.110.95:6610/000000001001/6000000006000030630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000030630
爱喜剧,http://111.12.110.95:6610/000000001001/6000000006000010630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000010630
爱解密,http://111.12.110.95:6610/000000001001/6000000006000200630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000200630
爱探索,http://111.12.110.95:6610/000000001001/6000000006000300630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000300630
爱玩具,http://111.12.110.95:6610/000000001001/6000000006000220630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000220630
爱科幻,http://111.12.110.95:6610/000000001001/6000000006000020630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000020630
爱电竞,http://111.12.110.95:6610/000000001001/6000000006000230630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000230630
爱赛车,http://111.12.110.95:6610/000000001001/6000000006000240630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000240630
爱浪漫,http://111.12.110.95:6610/000000001001/6000000006000040630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000040630
爱体育,http://111.12.110.95:6610/000000001001/6000000006000290630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000290630
爱科学,http://111.12.110.95:6610/000000001001/6000000006000160630/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000006000160630
IHOT-Y+,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/index.m3u8
