🎵广播电台,#genre#
怀集音乐台,http://live.xmcdn.com:80/live/966/64.m3u8
高清音乐台,http://live.xmcdn.com:80/live/1427/64.m3u8
新鲜音乐台,http://live.xmcdn.com:80/live/1908/64.m3u8
清晨音乐台,http://live.xmcdn.com:80/live/1011/64.m3u8
好听音乐台,http://live.xmcdn.com:80/live/870/64.m3u8
老歌音乐台,http://live.xmcdn.com:80/live/2628/64.m3u8
亚洲经典音乐电台,http://live.xmcdn.com:80/live/1005/64.m3u8
500首华语经典,http://ls.qingting.fm/live/3412131.m3u8?bitrate=64
长沙动感音乐,http://live.xmcdn.com:80/live/401/64.m3u8
江苏音乐广播,http://live.xmcdn.com:80/live/538/64.m3u8
北京音乐广播,http://live.xmcdn.com/live/95/64.m3u8
贵州音乐广播,http://ls.qingting.fm/live/23937.m3u8
海南音乐广播,http://ls.qingting.fm/live/4878.m3u8
河北音乐广播,http://ls.qingting.fm/live/1649.m3u8
河南音乐广播,http://ls.qingting.fm/live/1208.m3u8
吉林音乐广播,http://ls.qingting.fm/live/1831.m3u8
山东音乐广播,http://ls.qingting.fm/live/1665.m3u8
山西音乐广播,http://live.xmcdn.com/live/886/64.m3u8
上海动感101,http://ls.qingting.fm/live/274.m3u8
重庆音乐广播,http://ls.qingting.fm/live/647.m3u8
厦门音乐广播,http://ls.qingting.fm/live/1739.m3u8
广东音乐之声,http://ls.qingting.fm/live/1260.m3u8
广西音乐广播,http://live.xmcdn.com:80/live/301/64.m3u8
深圳飞扬音乐电台,http://ls.qingting.fm/live/1271.m3u8
苏州音乐广播动听,http://live.xmcdn.com/live/65/64.m3u8
四川岷江音乐广播,http://ls.qingting.fm/live/1110.m3u8
云南音乐广播,http://ls.qingting.fm/live/1929.m3u8
浙江动听,http://ls.qingting.fm/live/4866.m3u8
