🎥电影,#genre#
超级电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225766/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电视剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225765/index.m3u8
超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
KiD影院1,https://sf1-ttcdn-tos.pstatp.com/obj/tos-cn-v-0000/c51103da90f442339e892f8711ab0998
KiD影院2,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
KiD影院3,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198822/index.m3u8
KiD影院4,http://112.74.200.9:88/tv000000/m3u8.php?/migu/617432318/index.m3u8
KiD影院5,http://bp-caster.bestv.com.cn/494/1/video.m3u8
KiD影院6,http://bp-caster.bestv.com.cn/532/1/video.m3u8
KiD影院7,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
笑欢剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/623674859
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225718/index.m3u8
CHC动作电影,http://111.20.33.79/wh7f454c46tw2676886234_1042025358/PLTV/88888893/224/3221226465/index.m3u8
CHC动作电影,http://111.20.33.93/wh7f454c46tw66682855_961085433/PLTV/88888893/224/3221226465/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
上海影院,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
万州影院,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
武强影院,http://hbwq.chinashadt.com:2035/live/stream:wqys.stream/playlist.m3u8
西安影院,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
西安影院,http://stream2.xiancity.cn/xatv4/playlist.m3u8
新昌休闲,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
新泰影院,http://live.xtgdw.cn:1935/live/xtys/playlist.m3u8
绍兴影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
经典电影,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
黑猫电影,http://39.135.138.60:18890/PLTV/88888910/224/3221225718/index.m3u8
海西电影,http://stream.haixitv.cn/1/sd/live.m3u8
老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
天映经典,http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8
东方影院,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/dsjpdhd/4000000/mnf.m3u8
福州影院,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
隆化影院,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
菏泽影院,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
衡水影院,http://hls.hsrtv.cn/hls/hstv2.m3u8
惠民影院,https://jsylivealone302.iqilu.com/live/huimin_tv02.m3u8
徐州影院,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8
相声专场,http://bp-caster.bestv.com.cn/512/1/video.m3u8
南宁影院,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
漫威影片,http://epg.112114.xyz/douyu/6140589
喜剧经典,http://epg.112114.xyz/douyu/9650887
可乐电影,http://epg.112114.xyz/douyu/20415
恐怖电影,http://epg.112114.xyz/douyu/263824
避风影院,http://epg.112114.xyz/douyu/9826611
喜剧电影,http://epg.112114.xyz/douyu/9292492
高帧影片,http://epg.112114.xyz/douyu/6763930
译制影片,http://epg.112114.xyz/douyu/2436390
